s126_id,s126_data_1,s126_data_2,s101_id,s101_data_1,s101_data_2
,,,101,1.7348480224609375,5.328033447265625
126.0,101.0,1.0,101,-34.82659912109375,-17.305389404296875
126.0,101.0,1.0,101,-8.75018310546875,-1.154083251953125
126.0,101.0,1.0,101,1.6826324462890625,5.290679931640625
126.0,101.0,1.0,101,-5.7720794677734375,0.6957244873046875
126.0,101.0,1.0,101,1.719146728515625,5.3168182373046875
126.0,101.0,1.0,101,1.7456512451171875,5.3357696533203125
126.0,101.0,1.0,101,-5.888916015625,0.623626708984375
126.0,101.0,1.0,101,-5.91455078125,0.6076507568359375
126.0,101.0,1.0,101,-4.4169464111328125,1.55242919921875
126.0,101.0,1.0,101,1.6864013671875,5.2933807373046875
126.0,101.0,1.0,101,-7.913360595703125,-0.6255645751953125
126.0,101.0,1.0,101,-6.4265289306640625,0.311248779296875
126.0,101.0,1.0,101,1.6899871826171875,5.2959442138671875
126.0,101.0,1.0,101,-4.8939208984375,1.240203857421875
126.0,101.0,1.0,101,1.7348480224609375,5.328033447265625
126.0,101.0,1.0,101,1.6951904296875,5.2996826171875
126.0,101.0,1.0,101,-19.335662841796875,-7.712310791015625
126.0,101.0,1.0,101,-5.707122802734375,0.7357635498046875
126.0,101.0,1.0,101,1.686859130859375,5.2937164306640625
126.0,101.0,1.0,101,-5.901702880859375,0.6156768798828125
126.0,101.0,1.0,101,-28.628036499023438,-13.501617431640625
126.0,101.0,1.0,101,-12.121292114257812,-3.236053466796875
126.0,101.0,1.0,101,-4.066925048828125,1.7686767578125
126.0,101.0,1.0,101,-5.888916015625,0.623626708984375
126.0,101.0,1.0,101,-7.8424530029296875,-0.5934906005859375
126.0,101.0,1.0,101,1.686859130859375,5.2937164306640625
126.0,101.0,1.0,101,1.7594451904296875,5.34564208984375
126.0,101.0,1.0,101,1.7691497802734375,5.3525848388671875
126.0,101.0,1.0,101,1.684844970703125,5.292266845703125
126.0,101.0,1.0,101,-20.32611083984375,-8.27301025390625
126.0,101.0,1.0,101,-2.9387969970703125,2.4653167724609375
126.0,101.0,1.0,101,-7.0645751953125,-0.1130828857421875
126.0,101.0,1.0,101,-12.639984130859375,-3.556396484375
126.0,101.0,1.0,101,-10.642715454101562,-2.29925537109375
126.0,101.0,1.0,101,-15.798309326171875,-5.478302001953125
126.0,101.0,1.0,101,1.6915435791015625,5.2970733642578125
126.0,101.0,1.0,101,-5.4672088623046875,0.90386962890625
126.0,101.0,1.0,101,1.6864013671875,5.2933807373046875
126.0,101.0,1.0,101,-4.7411041259765625,1.3523101806640625
126.0,101.0,1.0,101,1.6824951171875,5.29058837890625
126.0,101.0,1.0,101,1.6899871826171875,5.2959442138671875
126.0,101.0,1.0,101,-5.91455078125,0.6076507568359375
126.0,101.0,1.0,101,1.7196044921875,5.317138671875
126.0,101.0,1.0,101,1.726837158203125,5.3223114013671875
126.0,101.0,1.0,101,1.6864013671875,5.2933807373046875
126.0,101.0,1.0,101,-17.8787841796875,-6.855255126953125
126.0,101.0,1.0,101,1.6779327392578125,5.2873382568359375
126.0,101.0,1.0,101,1.686859130859375,5.2937164306640625
126.0,101.0,1.0,101,-33.3431396484375,-16.328704833984375
